date,sku,type,sz,wght
24/06/19,RPW,procure,85,5.42
24/06/19,RPW,procure,89,5.42
24/06/19,RPW,procure,94,5.3
24/06/19,RPW,procure,100,5
25/06/19,I-C,procure,2,275.7
25/06/19,RPW,procure,104,4.69
25/06/19,SZN,procure,100,4.99
25/06/19,SZN,procure,94,4.99
25/06/19,RPW,procure,109,4.6
25/06/19,RPW,procure,114,4.4
25/06/19,SZN,procure,104,4.8
25/06/19,SZN,procure,109,4.6
25/06/19,APTS,procure,2,1366.45
25/06/19,SZN,sold,9,4.95
25/06/19,SZN,sold,100,4.96
25/06/19,SZN,sold,104,5.12
25/06/19,RPW,procure,119,4.2
25/06/19,RPW,procure,125,4
26/06/19,SZN,procure,85,5.15
26/06/19,RPW,sold,125,4.4
26/06/19,JPA,procure,167,2.94
26/06/19,JPA,procure,172,2.9
26/06/19,SZN,sold,194,5.43
26/06/19,SZN,sold,85,5.87
26/06/19,RPW,sold,119,4.55
27/06/19,SZN,procure,81,5.97
27/06/19,SZN,procure,77,6.23
27/06/19,SZN,procure,74,6.23
27/06/19,SZN,procure,70,6.23
27/06/19,JPA,procure,156,3.14
27/06/19,JPA,procure,147,3.14
27/06/19,SZN,procure,85,5.9
27/06/19,SZN,procure,89,5.6
27/06/19,JPA,sold,70,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,50,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,9,3.2
27/06/19,JPA,sold,5,3.2
27/06/19,JPA,sold,5,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
27/06/19,JPA,sold,1,3.2
